order_id,payment_sequential,payment_type,payment_installments,payment_value
5f1987cc-94da-4218-9116-c19e7c2ebf44,1,credit_card,10,108.9
a23780a1-0d23-4c0f-b265-47ebecee179e,1,credit_card,8,58.040000000000006
4727c3d8-815d-4c7e-8cd3-5f87a77d1a42,1,credit_card,4,28.7
3d42ca56-e09f-4d31-8fca-10209d8f8378,1,credit_card,9,80.47
1f169ce2-4a4a-4d8a-a955-78e6144746f5,1,credit_card,9,217.74
bddbe3f3-60ee-48c8-a0c7-7c3367d8ab5e,1,credit_card,10,383.63
510f1f7d-89f9-47e8-b017-34be2276963c,1,credit_card,2,234.98
b9864b8b-3860-4fe5-8d06-7fa98d84276b,1,credit_card,2,46.76
d7d3234e-ad53-4bf7-be4d-a6ef2b300544,1,boleto,1,246.59
0a938af9-32de-4a07-a9d3-7c948806b026,1,credit_card,4,856.89
a93111ee-0d03-46b4-9cba-742e891e8e43,1,credit_card,7,313.62
99e7c0d7-9a22-4742-9649-4a17064e1e97,1,credit_card,8,190.86
a28f1504-c4da-4c9f-98dc-1cecccb009a8,1,credit_card,4,764.3100000000001
f2a66c12-707d-443e-9478-ed14009bc692,1,credit_card,2,104.28999999999999
35b4aa63-d1ff-4c66-b176-4a60fec6067b,1,credit_card,10,9.27
5b050cc9-ffa5-41e3-9a04-a647a9060eba,1,credit_card,7,114.97
da13ab95-33b7-403c-9fd4-415bd322d95b,1,credit_card,10,150.24
41420da4-e24a-4af1-a8a3-9d5fc84f1e04,1,boleto,1,146.54
4c6c80b6-ede3-4808-88a5-859f25216823,1,credit_card,2,105.68
3f2c6bcd-424f-4f5f-beb6-bbe81b1a4f41,1,credit_card,6,506.12999999999994
d9ebd4db-1ba3-4b66-879f-8b52903292d2,1,boleto,1,189.41
1aaf53a0-d0df-47c7-9141-a3551d8d9ecb,1,credit_card,7,537.77
c38fdfd4-41a6-4dbf-b21c-29f68193bb52,1,credit_card,9,195.74
62a41c9b-82a1-42b3-afd5-b685480dbf0a,1,credit_card,5,225.09000000000003
a6f19f30-4019-4186-bd4c-2362fed0e7d7,1,boleto,1,45.160000000000004
