customer_state,customer_city,customer_id,customer_unique_id,customer_zip_code_prefix
BA,Inhambupe,4293007bf0f607259f9c577e2d03df33,66d0106c808fc4429599b07fab2b35ed,45653
BA,Santa Brigida,3d2f26eab3f79dd1fe9977f615e70c2f,cd88b962adbc4b174353217f99dc6174,41180
BA,Sento Se,615fbe297f3f877ee5bf7b9ff3254fdf,6bf558c1aae5004b6a410c3294c5e119,48970
CE,Catarina,44a1b8350ca123d2dc3815d3db6dbfc6,14730c28f41ecf39e139695d13c836c9,62850
CE,Fortim,e5c9bafaa0e039d46a1daa031a7222d0,7924945bec858beb74b38f9e1345d40a,60833
CE,Horizonte,773aef8cbaeca83e52ccdef46bd502f4,bddbe63c843873dff100276893ca5653,62270
DF,Ceilandia,9408366cfabe249cc4e4680dffb79c5c,6243e6aedca8bf97d0e619c5eed532be,71725
ES,Santa Teresa,a6f56bc4dd05d5f3ac085cb1f2059b21,e3c85862f94505287c37eafd177c46e6,29645
ES,Sooretama,28879eba5897d793590ee91f3a54e150,66cdade9593087e4d54912e755e8b61f,29160
GO,Apore,113529321cf955855ad19e49f974014b,975ddc2c0783f56801492449ceea1a88,74970
MG,Belo Oriente,d4fb78a8e5b23b05966e19efd5daf545,a19807bc9d487c2e1db76f9d48276ccd,30130
MG,Belo Oriente,4fc9e35cc1c1237488346652e2487231,5eb539db8bad2407b71782f1d55a4826,31573
MG,Capim Branco,09122d298c692a6ba77d8e894c154672,4d95d7be8e0e30b234f1e64ba6472732,37993
MG,Divisa Alegre,86042c8472794b41d03cfe051f3bd9de,e34db2a708052454521174717265adc5,35500
MG,Umburatiba,f95a88c152cc3320d2e6ab9efb9cc90c,a2ac5295548a4893bc35b60152102cdc,38402
PE,Bezerros,9e73b20ba4eb379917978219be55ac56,10932073de3cfc114c1e40ce68bf67a4,55153
PE,Riacho Das Almas,2005627c4cb9a95f4babe067d2c37f8a,2899964371b6266b732cde11a74efbe6,51020
PI,Caxingo,8e89cab186c88be523095a199d89bcb2,cb6eedff71da95336cf2af0225130ff2,64340
PR,Rio Verde,3d5688f7c319b63b11b8d1c8dc5e6abe,f102240598836332442c455abbcecfbc,83880
RJ,Macuco,193975242724bbde03dd270c7f320993,27635f54dce959dee4ab3a0f52608e68,27933
RJ,Nova Friburgo,bc000f3077e678720eac36cdba124c5a,ed372c577aac3894fb03832df1d6973a,24358
RJ,Sacra Familia Do Tingua,32502607d5a44f34e36748b136e26b11,0ba49a67bbc6ebc3f3099eaf41f3194b,21911
RJ,Sacra Familia Do Tingua,c476ddfbabfa4624603e0b7f8e245057,5b861df2503dbc8ca307dfb7e18b300b,20720
RJ,Sacra Familia Do Tingua,7b02e94a2352d4185b50fe7503b4b753,6321bbd80d2615bf1ce7d905265f9681,23535
RJ,Werneck,bb308532dc44f5973cd2caf17d15bd8c,367879109f7a4aac09ac25b29d133d3a,27285
RO,Candeias Do Jamari,5850a1aca7d07248dad1103ad272341d,eb8ddda056161923245beb3770c3431f,76961
RS,Guabiju,edf7eb0836bc6a1be99a9f8fe20ffbc7,1a24ffb661504bef8ecfbceeee2df17e,94190
RS,Lavras Do Sul,c6691e1f1d4cd05a493d80e62bd15d35,7a0c76478ec49e98e14e833ec4a7c11f,95913
RS,Pedras Altas,0d9ffbcdfc8f12c97fa5f1e669eb03a5,b326ede7395fa05e39c71365970f85da,99010
RS,Porto Lucena,6723644d9ba48cca8d848b1f18c70841,bbae027c25a7e8c839053a1890227e21,90460
RS,Vera Cruz,b173f79bb1d308fc5703ecb25888a0f8,3b4246e03fc1d4a501e6e4bdd758e2c8,95800
SC,Porto Uniao,7d4b050bcbcbf1f4c538c28a4d45842b,cc71356617ae08a686129c3923ba9ed3,88210
SP,Braganca Paulista,9a73612485c1eaf2ea1e2b46d3890cb8,c82564ca0ebfac848d21f6a34b2d1e44,18600
SP,Campo Limpo Paulista,1ae3d1ac4e9f72126d07ba9dff0c3762,ade79c7610461d8dcfe7fe506c327cea,13035
SP,Divinolandia,9b19eff415dc894c44e32ab97355c506,7c7725a91776791076e6468489afa661,09950
SP,Flora Rica,dd8fd4a958c49d92d56c854065d11234,843c7e9e24758cfbc00dd941be3de79b,08536
SP,Gabriel Monteiro,deb4fed7c4cda80c3624ed839502b047,a4c1aa4fc70bf96d4ce285eaa0647cdf,07861
SP,Indiana,b95b33dbd27f604858d1914b262217ba,6876afc3917d1fdcef4a5a0839821204,13335
SP,Indiana,1df2f2f697518a767cd4db5023bfb241,2171c5c7c1fd7429ccca74054e7d3cb3,13330
SP,Itatinga,2b96518cb643c44f4d15da3c37d178df,f55994f4c6442f9e75bf40994b6d40f7,13256
SP,Novais,352960fe6741c7944bd2007d8d1d3f64,eec8231e8d513be98954dbcbe946528d,13389
