customer_state,customer_city,customer_id,customer_unique_id,customer_zip_code_prefix
BA,Aramari,32e9e40545eb494f5bbf1b50cd11a017,ae7064095a12f07f1c3b733a947f948d,48760
BA,Bonito,5dda11942d4f77bee3a46d71e442aec4,6a0e43f0d7e1b5539e4c58a26ebe35da,46740
BA,Itaberaba,bbf72dd998cf3a7eead87da199b0bafd,8066fbdade39660254866b743cf22ec8,45848
BA,Santa Brigida,1c147c7a4229fc41feca9e5f688b5871,67f90af2318b59a2f13beeb6bacf4ed4,41720
BA,Santa Brigida,dfac6c0e38db3311d420fe33742f1412,8989738a7091bdf85219ea7ee8f2b21f,41630
BA,Santa Brigida,57589bb9afa9eb858304d0ada0f1b45d,a6d6c8aad5761dbe22ec672effe1e1a0,41250
BA,Santa Brigida,cce86266bfd092e3938fe969666f1534,9ce4185d17f75a3b38eded0e2401ebd2,40355
DF,Ceilandia,e198d9344eb2d92c850249a49d874dbb,b21420e415588331cf9797592a3d9456,72238
ES,Sooretama,d6d2c18db765ea84370d9b33b9e3a006,87ae416cba4fb79b69033a4fbe1769aa,29171
MG,Belo Oriente,d3de790e516d9c92c74ddffad4a48fbd,f2ab099d70e9378077502f9520bb2789,31030
MG,Iturama,c774b04e5b24344cd01e916eaab9143d,066ad00bcceca1e223f671be9e9a5df3,38300
MG,Jacui,14c5a62a317324d6479b2f68c58fd162,817e4269707e78bf6a860b10968538bb,39930
MG,Morro Da Garca,c536a4bb48597507afa32180aa45e690,ccc0975fe58663dbcabffb6c0b5569f6,35628
MG,Uberlandia,feb89afad4115a3d743926b10ceeff3e,51a6fa216e701367e7f7ebef7ca4daf3,38061
MG,Vieiras,79e35a8cf48a05893167fd04dbd226a8,9469cba934075437bf33275412b11eb6,36570
PB,Catole Do Rocha,c8c8685c81910413f6244ab21a3a02de,6b84d644d67c3df2d6fdb5af8519002f,58414
PE,Riacho Das Almas,b8e495ee58dee95b53dc612ed49bb0c3,58f8c4c9083b727977b9f828a6a58cdc,50721
PR,Candido De Abreu,67a4dc9ebe668f07201a861f82dba20d,3ec951aa80a242ab4d8fcb5da83589d0,87303
PR,Colonia Castrolanda,eeffdeb610ba67edfdf863936785eb90,740b0905a1e5586e67956320eb679fcc,83410
PR,Curiuva,c06ed558753b26a871544eb71f7ea9c2,ebfba852590ea50087c9af85818aadb2,81560
PR,Paraiso Do Norte,ca1f7e87f054a7fb9e7eee3635387710,0a31e281ade2d349246c6e86d56947cc,85950
PR,Sao Miguel Do Cambui,504e1afecfdc611577b546d5fe69436e,f0313b8b584e00edefff64002051ef59,83900
RJ,Cachoeiras De Macacu,18c3721ff948a8dfe377499f048a7bf5,30d2d6693d77801c2bcdfafbba202462,28908
RJ,Cantagalo,7afd70f551aed27048b27f155376a4cc,33843e4688de258574676a6ca92060fb,28035
RJ,Nova Friburgo,53c22abafe0ae32720fac7aff5c9309b,7c3de819c5c8202f72ba56ff8f51ae39,24120
RJ,Sacra Familia Do Tingua,4898298d72e64f88fc72c75881bb26d6,64c91c4612341c8dbaab07352c8fa263,20760
RJ,Sacra Familia Do Tingua,db997b4895c6d16369c97f2cc84ebb45,43e79ecbac53ae96c80ad2ec83606201,22450
RJ,Sacra Familia Do Tingua,1e69e7df48c7b57590cd5f3877728f54,0cb6cace3955a479dede0a316447dd91,21510
RJ,Sacra Familia Do Tingua,fba9034f567d175bd9588ca03f0a4bbf,59c282092153b12f70ae32dbd3203a7e,23070
RJ,Sao Joao Da Barra,b794220321d905dbfd3740e2292244bd,c148d8da3c3af83856e7d7dc9fc766bf,24436
RS,Pedras Altas,d91a7750133a9d5ec389b604ddcb534b,b06262e8f98cc47f6c04ce5f42dca33f,99051
RS,Sao Joao Da Urtiga,b74bbd3e8808190560fad0a7077e92ae,788ced55a1e6f66effe1f65b87810d45,96700
SC,Cunha Pora,4d02e7d9b02f003359bce7134dc4941f,595deb8c0af0545280e8d9bac8213073,88804
SC,Forquilhinha,6828f49c4fe2b5f50f12e6120d5ffb78,09606d95d5074098dffb7cf481ab0f2d,88047
SC,Itapema,5beaf82912931889e4afdaa9ef9fb356,fc513937c2f93e7f7918bda3c5ecb6a2,88310
SC,Sao Pedro De Alcantara,637d0dee99f2be0a797c3d25c03bf7bd,dc4a7cec043a824ca023222f91bb2fbc,89900
SP,Analandia,0e31c22ff407d2335ed90ee7ad12f2ec,568ade92344fb12f2bbe4177bc731cfd,13901
SP,Guarei,ab65a308e13faaef39b0370e82dd6fdb,fd59b2040862a3c5f0956eeb1193f239,12507
SP,Junqueiropolis,d1a95718f4ba847aa46472c7d38ac885,201a66e32793d607c47eb8282cd85fe9,13214
SP,Oscar Bressane,632d3fa26ee53b9c088a3750f0a6c775,e9999972797e433766f3bca71104b263,06020
SP,Paulistania,7ab146a5f9f827e0f080b310aeeec1c8,f87e1e47863c08eae742924f0e1d4f38,13142
SP,Poloni,9cd37be684095870044dc87dde12f767,b5e7489a435325c5c4ec88020bf5a0a7,08560
SP,Sao Bento Do Sapucai,256e039b35d85e185b152ef63cab9877,34100feaf9480c1d7abfceadd873fed4,11088
SP,Sao Pedro,314675b44a38443e4ba09ab0f462c8c7,d469ff90bd1e879cdfed08343ac1a77c,02209
SP,Sao Pedro,c27808faa6aa8b89eba6c04408025c68,0bbe329ec19b6c832ee0fff375439ff3,01413
SP,Sao Pedro,b4e1d5fdf13905222b7a571b9edad9ef,9eb5dbe2b5f217e8a10c5b7e14b90346,08290
SP,Sao Pedro,953e32cfaebff34e81c10e6cf53a5553,80e73006367ee828a4f5c2531aa222e1,04302
SP,Sao Pedro,896989a5e9110fb3c1301a9f5ae7ee93,d6b3ab933d857690e1239a36f433cca5,03480
SP,Sao Pedro,dd8a1f106e2a416211230862df1224a2,fdc85cd2e2ae478bfe9269ecc4726fc0,04007
SP,Taquaritinga,0cbab479f583876bf94810bb85aca618,8626bd1c1bfc3055e51695cf4879917d,13760
