order_id,payment_sequential,payment_type,payment_installments,payment_value
6b4f99e7-a56f-4923-9010-875644eb32b1,1,credit_card,2,84.81
2e0a27b6-9eda-4ab4-b81c-5b1b8fab128b,1,credit_card,10,140.15
fe083777-8a43-4e37-afef-fb0f3e662eea,1,credit_card,1,403.39000000000004
70bd6134-71c7-4e3e-bfd7-babf35f930b0,1,credit_card,8,204.7
ecd928b1-7e87-41f1-ae2d-258d98d93074,1,credit_card,2,460.29
8ceca6e5-74af-40af-86ea-53d06831e446,1,credit_card,8,392.3
9bdfcf59-0b4b-4a66-9199-fae705ae6961,1,credit_card,9,297.99
0ff82b2f-1f0f-420f-b270-ca0dac99dd90,1,credit_card,1,127.56
9a892cfb-5aad-48f5-90ab-c3862dc4caae,1,credit_card,6,143.83
23bd4f61-74ab-4f47-aa44-6e79a54a3e9f,1,boleto,1,326.69
1729660e-284b-48bf-a556-82b3bb14ad7f,1,boleto,1,155.16
68dbcb2c-1ecc-410b-9e87-0a98ad948a83,1,credit_card,6,112.41999999999999
6a93b2aa-eccc-4fe3-b86d-08157e83eaf9,1,credit_card,6,167.92
5126dde2-ad49-4951-aa57-b79170249058,1,credit_card,5,1350.93
1f95c8d5-d970-4704-8ab5-003e8b3b30d8,1,credit_card,2,217.24
bd834971-c7d3-47b8-adba-9d89f8f843d8,1,boleto,1,164.26999999999998
35b4f50d-dbe8-491d-9114-148e5dde3830,1,credit_card,2,1047.33
b1010b61-3e2b-4ad1-997c-ee3e5ad50f71,1,credit_card,2,282.66
aae2cfed-08d8-45f6-87ff-ced5c2e7d9b8,1,credit_card,5,171.04
b446bf90-a038-474a-8607-ba6117d04081,1,credit_card,2,337.71000000000004
7da12075-3be0-41ae-bf0d-7d3019d861ce,1,credit_card,4,211.85999999999999
77451b32-e5f7-4831-a033-ce22a50bb1b3,1,credit_card,5,284.2
38e516cd-6c96-4ce9-9118-e446e457a628,1,credit_card,2,202.81
f62b256d-544e-47a0-903b-8c8ddf4ccb38,1,credit_card,1,367.46000000000004
7de15776-94d3-459f-a2f5-494a9df9e773,1,credit_card,8,175.95
