order_id,payment_sequential,payment_type,payment_installments,payment_value
7ab56895-655a-433c-95e5-d3a40a337024,1,boleto,1,630.2
706bad41-1d61-4e00-b4f1-21b970099cc7,1,credit_card,1,29.990000000000002
361fa093-18d0-4974-90fb-0b6453399b4a,1,boleto,1,598.44
ed821d9f-83a9-4102-8c61-71dbe400aa86,1,boleto,1,352.45
93dcae9f-3448-4889-9c76-cd21fa95d652,1,boleto,1,547.52
c5b77a9b-b3ca-4224-9382-50bd7b0e95d4,1,credit_card,9,196.35000000000002
e8a5eca8-2921-4db0-aaea-c280f845961c,1,credit_card,10,504.93999999999994
f7ca4666-f028-4044-a765-b1b0d4fb6276,1,boleto,1,187.47
b50634df-04e1-461c-adf4-709a0f07ef3e,1,credit_card,7,195.79999999999998
fa2d5522-4c23-453b-b0d6-3c1e491e3ed6,1,credit_card,10,79.03
16d0c762-5296-4246-8a29-db280c30fe5d,1,boleto,1,335.53
31dafd9d-1a52-4674-93cc-ca170b318de0,1,boleto,1,484.93999999999994
4cc0e8ed-0e69-4857-8a00-812de8ee9c00,1,boleto,1,951.03
6d0dfa8b-3511-455a-95eb-2b3210db3cb3,1,credit_card,1,226.55
bdc6f6ee-182b-4655-acdc-20876c50eb63,1,credit_card,4,499.22
837f4639-c995-4e9a-9a9a-6539ed201b1b,1,boleto,1,191.46
2a4782ba-207e-46d7-9672-0fd47488ea38,1,credit_card,4,134.22000000000003
5105fbff-b931-4fb1-842e-47d8a61b38fc,1,boleto,1,341.85
beee1a9d-444b-443e-943d-f8bd175715f6,1,credit_card,4,329.77
cada20cc-b746-4009-a41b-a86e5750be7a,1,credit_card,9,136.91
a1da248f-a612-4e23-a843-9e4d8b87b0c4,1,boleto,1,433.27
396454c8-4b03-4325-bbf4-836743e99e05,1,credit_card,7,145.92999999999998
47d49c70-73a1-46a8-b048-db4a2e4bd619,1,boleto,1,338.38
2fbe3521-fb7f-407d-a35d-3619bdce21e2,1,credit_card,5,401.87
bd7bdf8b-adc5-4078-8c2c-c8f48a4e717c,1,credit_card,9,136.70000000000002
