order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
db51a240-088a-47bc-b7d9-f9f06e44b544,f55bb246eecd1cab4ca24d89b196488b,delivered,2026-08-24 16:58:52,2026-08-25 08:46:52.019245,2026-08-25 16:58:52,2026-08-31 16:58:52,2026-09-08 16:58:52
7aa4cace-3b1e-4edf-a7da-25169f3a1ead,85d7ff05a9a3db8795766481dbb38ed1,delivered,2026-08-26 16:29:32,2026-08-27 00:17:04.259144,2026-08-28 16:29:32,2026-09-02 16:29:32,2026-09-21 16:29:32
d21153d7-ac8f-43e3-a044-817b4fb499ed,40e16d92bed51ffa013c3a7d1bb1e328,delivered,2026-08-24 03:46:41,2026-08-25 02:49:27.054658,2026-08-27 03:46:41,2026-09-05 03:46:41,2026-09-26 03:46:41
a7a3695e-d40c-4ae3-8e70-fd104f38047f,e79f3050c5e88a95a083b36f0ddb3f49,delivered,2026-08-24 09:09:29,2026-08-25 00:24:18.469924,2026-08-27 09:09:29,2026-09-04 09:09:29,2026-09-09 09:09:29
e1b7ab0c-42e4-48f5-b059-dafd622f479d,720f6f7d2b4d286d12fda1ea47781302,delivered,2026-08-29 21:39:15,2026-08-30 03:02:32.502754,2026-08-30 21:39:15,2026-09-10 21:39:15,2026-09-14 21:39:15
930e380e-c1db-44c0-b1d9-1f9483f67607,380e3164088d255fb4e116a4a01743cd,delivered,2026-08-27 00:32:36,2026-08-27 23:36:45.414426,2026-08-30 00:32:36,2026-09-02 00:32:36,2026-09-08 00:32:36
b6b5c61c-b383-4e58-b3fe-8bf5e8023094,5c7f8d14a0a12198d1d07167d7d343b3,delivered,2026-08-24 10:49:29,2026-08-24 15:59:45.513519,2026-08-27 10:49:29,2026-09-07 10:49:29,2026-09-15 10:49:29
2a649e2e-649d-4bbf-b300-bff32069fd18,83584c4329669450ef4331e7482e13cf,delivered,2026-08-28 10:10:33,2026-08-29 04:42:35.115165,2026-08-31 10:10:33,2026-09-11 10:10:33,2026-09-16 10:10:33
af5bde87-8f6d-4504-8b9c-cbdae6f69a40,1e8e1c62473f56df55197028a8b67324,delivered,2026-08-28 15:22:59,2026-08-29 02:33:21.703558,2026-08-31 15:22:59,2026-09-05 15:22:59,2026-09-25 15:22:59
366b9538-5e24-42e4-9908-5ded6d803194,223345b23d267598be393e1b629c098a,delivered,2026-08-26 01:35:36,2026-08-26 15:22:20.778035,2026-08-29 01:35:36,2026-09-03 01:35:36,2026-09-07 01:35:36
1c884b1f-5014-4c15-a4d6-f59e53bbea52,b39defc25f6136cf6c7ebac94e4ba2b8,delivered,2026-08-29 05:23:00,2026-08-30 03:56:01.784132,2026-08-31 05:23:00,2026-09-04 05:23:00,2026-09-16 05:23:00
98fc1297-3beb-4fcd-b97b-f49b4ea4aab7,f9835897d532524a6e9686847d4db4a7,delivered,2026-08-29 19:44:06,2026-08-30 14:55:59.736181,2026-09-01 19:44:06,2026-09-11 19:44:06,2026-09-16 19:44:06
cb7630f5-9429-4375-893c-d89b874e63e5,ad8653edd19b5fce6af3a75366bcb7b2,delivered,2026-08-27 12:58:33,2026-08-27 19:08:58.862481,2026-08-28 12:58:33,2026-09-07 12:58:33,2026-09-14 12:58:33
161a0d22-bc83-449f-ae0a-4922dfb6b404,9cc241dd34d97a4c8a2d0b63b3ec8105,delivered,2026-08-28 08:11:25,2026-08-28 14:34:47.401312,2026-08-29 08:11:25,2026-09-09 08:11:25,2026-09-20 08:11:25
2490b156-73cd-495b-b121-d78feacf4b14,3186724acb14eb58267a37290a0a962f,delivered,2026-08-28 23:46:13,2026-08-29 15:03:21.353567,2026-08-31 23:46:13,2026-09-06 23:46:13,2026-09-06 23:46:13
1035554c-c8fe-4b90-bbda-f864f358dc81,eb0e488592359ee385d18b209e4911b6,delivered,2026-08-25 09:40:05,2026-08-25 15:32:51.128318,2026-08-27 09:40:05,2026-09-03 09:40:05,2026-09-22 09:40:05
72626b76-6aab-471b-a828-46b462ea99dc,859a7b535e698c33782421bd099629b6,delivered,2026-08-27 00:14:05,2026-08-27 08:16:00.308365,2026-08-28 00:14:05,2026-09-05 00:14:05,2026-09-24 00:14:05
d01b005d-d6dd-41cf-9b38-b11ff48e3d10,68d7530b749aa96df05833de2d337e6b,delivered,2026-08-24 01:44:18,2026-08-24 11:08:31.59615,2026-08-25 01:44:18,2026-09-03 01:44:18,2026-09-25 01:44:18
c924fa02-0979-4575-9973-d516078970f6,f920395e4693d8730802e67e57e3d3b6,delivered,2026-08-29 08:41:02,2026-08-30 03:11:26.455337,2026-08-31 08:41:02,2026-09-08 08:41:02,2026-09-26 08:41:02
98576041-3890-422c-8551-58e604655e17,3ca973130cd813782697a76c95a6c480,delivered,2026-08-24 08:02:14,2026-08-25 07:18:09.90268,2026-08-26 08:02:14,2026-08-28 08:02:14,2026-09-09 08:02:14
cd1da3d9-1834-4408-a3b0-6e9ac9e25c3a,c2f181778a12039532d79460d4ba59e2,delivered,2026-08-27 06:04:53,2026-08-27 14:21:50.314387,2026-08-28 06:04:53,2026-08-30 06:04:53,2026-09-13 06:04:53
f05745dc-d976-449c-a1d2-60880f686172,83ebc0404ed775bfa7b6a635edb0c08c,delivered,2026-08-26 05:02:33,2026-08-26 16:03:20.441035,2026-08-28 05:02:33,2026-09-01 05:02:33,2026-09-07 05:02:33
69cb213f-76fd-4366-b65c-9267ad8b59c3,bc13567372ad405e1fa1c93da7eb9079,delivered,2026-08-26 06:16:57,2026-08-26 14:05:25.781393,2026-08-28 06:16:57,2026-09-07 06:16:57,2026-09-17 06:16:57
dc14ac12-4ca0-404f-8a42-25a3336d68b3,02a9194295f0ec290cebf3a0e66c98a4,delivered,2026-08-26 19:52:49,2026-08-27 07:46:04.436323,2026-08-28 19:52:49,2026-08-30 19:52:49,2026-09-19 19:52:49
f26a6166-4a50-47a4-9e2d-f7470546b44f,28d908a1782ec9fd7f094debcbbeecf8,delivered,2026-08-25 16:47:51,2026-08-26 12:19:06.792746,2026-08-26 16:47:51,2026-09-04 16:47:51,2026-09-18 16:47:51
