order_id,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
8cfe4e12-2b05-4302-b5c7-bfd107c587b8,0ae67c07-9e95-4ac1-921b-17c4bf1ef819,5,,,2026-08-25T00:04:09.331Z,2026-08-26T00:04:09.331Z
6325ed81-5f24-4935-850f-259ef2fcc657,f0786d6c-a3a7-4eaa-85ce-2325dcff7fec,4,,,2026-08-25T00:04:09.331Z,2026-08-26T00:04:09.331Z
96416664-ebc8-4a1e-bb10-aa08c6722b59,b7f63918-ab71-44c0-ab13-ef05c988dd71,5,,,2026-08-25T00:04:09.331Z,2026-08-27T00:04:09.331Z
1eeadbc0-fce1-4ffe-a4cf-04e598b06e77,5f00940f-2a6c-441c-aad9-c8cec98ed194,5,,,2026-08-25T00:04:09.331Z,2026-08-27T00:04:09.331Z
4c248499-44ff-4998-ab73-e5a19e8243bc,fb423092-b9bd-45be-ad96-0d7578032bd0,4,,,2026-08-25T00:04:09.331Z,2026-08-26T00:04:09.331Z
49f1b5a4-72fd-46c1-8155-69804e45eaae,8932ef9a-24e5-4136-a416-60bd90e879ca,4,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
a1595227-344d-4453-990b-c12583fa1711,c89daf90-1976-4d05-a62c-2bfa4cd42918,5,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
c995386a-9512-481f-9546-d75a15a09bad,c94e7013-585d-4351-bdd5-637db9872174,4,,,2026-08-25T00:04:09.331Z,2026-08-27T00:04:09.331Z
587b311a-ba4f-4121-8171-93f33b9f8824,f981e777-2c9e-47a0-b273-f947cc17b11f,4,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
c7976082-5c83-44b2-a04a-227fe0423a33,c1c3f99b-2620-441e-a91f-2d9b4218db15,5,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
89f62696-c429-4fee-a4c8-77096ffb5e02,121f32e2-7a25-4b76-b043-a627578c9b29,5,,,2026-08-25T00:04:09.331Z,2026-08-26T00:04:09.331Z
aee4578b-2f5e-44f0-93ec-fd27223a59a3,6d313826-e216-438f-83bd-23344a70f996,5,,,2026-08-25T00:04:09.331Z,2026-08-27T00:04:09.331Z
47155424-17ee-4c2a-87af-f0f3d696fb2c,5ad1d69f-3b17-445b-973e-2d401844a257,3,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
f022e897-50a8-4511-a0b8-96c651c18077,70e828be-7aad-4574-94af-1b81ed1432a9,3,,,2026-08-25T00:04:09.331Z,2026-08-27T00:04:09.331Z
82faaa79-980c-46ed-bbb9-f9e9999a9641,4d0aae27-8260-47e6-81d7-3c11ae779f28,5,,,2026-08-25T00:04:09.331Z,2026-08-27T00:04:09.331Z
0327056e-7471-49a1-b366-f3ae87ebb3a9,f9e517f8-b845-402d-b40d-2bd1016ed644,5,,,2026-08-25T00:04:09.331Z,2026-08-27T00:04:09.331Z
a52d3597-30a3-44e2-bb78-096c32af3c41,1bb94171-40ed-49fc-acc3-5d2a300cce8c,4,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
a4bd1539-7ad2-4638-8e65-f4f76656c15c,2d2b0f98-9a18-4957-89aa-5b71fc08a49b,5,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
58c2be3a-2b33-4df4-8b03-5210ec5a379a,54fd045f-4672-4131-a951-3f6c47f1c0f4,3,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
b058a635-e491-4f7b-919c-8f6447cd920c,4ac5c429-cb18-4f10-a34f-89fbc1b57d3b,5,,,2026-08-25T00:04:09.331Z,2026-08-27T00:04:09.331Z
9a493072-2ef3-4b8f-9cf3-262a51111cd5,f45edcff-8b43-46e1-8f01-c25c28b286ad,4,,,2026-08-25T00:04:09.331Z,2026-08-26T00:04:09.331Z
74d41ade-b991-4976-939a-72093fbb8466,a81f9128-ea93-46f9-a2bb-945623c1ec18,5,,,2026-08-25T00:04:09.331Z,2026-08-26T00:04:09.331Z
61860aee-6627-47ff-8ae0-61a1e30e5a8e,17f4e237-aa86-4bdd-8490-a96777e255e4,5,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
0fc2c35f-a0b8-498c-8997-72759b75b5d4,74d67431-7227-4c5b-b553-3668157f77f0,3,,,2026-08-25T00:04:09.331Z,2026-08-26T00:04:09.331Z
fafca185-739e-4f2b-964e-3419b541852c,8be5cc0a-a9c7-4bf0-8c57-b09dabc3fa20,4,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
58c1fcab-3831-4810-bcb9-0ec6175aaee9,3bc97d9f-dcde-4a2e-af43-f57db1842632,5,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
1b1af2b7-7558-4a12-809f-52e66f54fe55,15edbd36-5938-4dc9-a7cb-65d40b8b650e,4,,,2026-08-25T00:04:09.331Z,2026-08-27T00:04:09.331Z
88a8e832-48cb-4e1f-a8be-3be0ce9ebd40,81058ecb-286e-41bf-afee-91b5f0009c42,4,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
61f44b5d-0215-49b3-aaf6-8d40f7165af6,ac6eee0c-e87f-45b2-95c1-2d5147d02951,5,,,2026-08-25T00:04:09.331Z,2026-08-27T00:04:09.331Z
35946084-2ef1-4f34-918e-0ca8b78267f4,0a700f5f-3cc3-4e23-87af-ed6924c7388f,5,,,2026-08-25T00:04:09.331Z,2026-08-26T00:04:09.331Z
48818a20-f94d-4f43-a828-d38bd9ebd259,2e95cdfd-9205-4418-b0cd-a065b77ad0cf,5,,,2026-08-25T00:04:09.331Z,2026-08-25T00:04:09.331Z
