order_id,payment_sequential,payment_type,payment_installments,payment_value
db51a240-088a-47bc-b7d9-f9f06e44b544,1,credit_card,3,847.26
7aa4cace-3b1e-4edf-a7da-25169f3a1ead,1,credit_card,10,167.9
d21153d7-ac8f-43e3-a044-817b4fb499ed,1,credit_card,1,401.05
a7a3695e-d40c-4ae3-8e70-fd104f38047f,1,credit_card,8,332.31
e1b7ab0c-42e4-48f5-b059-dafd622f479d,1,credit_card,5,369.93
930e380e-c1db-44c0-b1d9-1f9483f67607,1,credit_card,5,67.81
b6b5c61c-b383-4e58-b3fe-8bf5e8023094,1,boleto,1,168.19
2a649e2e-649d-4bbf-b300-bff32069fd18,1,credit_card,9,268.34999999999997
af5bde87-8f6d-4504-8b9c-cbdae6f69a40,1,credit_card,6,404.41
366b9538-5e24-42e4-9908-5ded6d803194,1,credit_card,8,211.94
1c884b1f-5014-4c15-a4d6-f59e53bbea52,1,credit_card,8,55.61
98fc1297-3beb-4fcd-b97b-f49b4ea4aab7,1,boleto,1,476.47
cb7630f5-9429-4375-893c-d89b874e63e5,1,credit_card,10,249.27
161a0d22-bc83-449f-ae0a-4922dfb6b404,1,credit_card,5,168.01999999999998
2490b156-73cd-495b-b121-d78feacf4b14,1,credit_card,8,293.59
1035554c-c8fe-4b90-bbda-f864f358dc81,1,credit_card,7,38.6
72626b76-6aab-471b-a828-46b462ea99dc,1,credit_card,8,258.05
d01b005d-d6dd-41cf-9b38-b11ff48e3d10,1,credit_card,6,384.51
c924fa02-0979-4575-9973-d516078970f6,1,credit_card,7,110.82
98576041-3890-422c-8551-58e604655e17,1,boleto,1,151.70999999999998
cd1da3d9-1834-4408-a3b0-6e9ac9e25c3a,1,credit_card,7,115.61
f05745dc-d976-449c-a1d2-60880f686172,1,boleto,1,143.44
69cb213f-76fd-4366-b65c-9267ad8b59c3,1,credit_card,1,300.46
dc14ac12-4ca0-404f-8a42-25a3336d68b3,1,credit_card,10,272.5
f26a6166-4a50-47a4-9e2d-f7470546b44f,1,credit_card,7,292.05
