order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ba5519ad-e8f9-41ac-be7d-875a2127f644,1,a79c0d179a6de79b23a81b64b3980c04,e883aa812c37a7413226856f4579fe91,2026-09-01T00:04:20.408Z,19.24,7.95
ba5519ad-e8f9-41ac-be7d-875a2127f644,2,3eb6b55ec8635498193d4fc3d264e6a3,33dd941c27854f7625b968cc6195a552,2026-09-01T00:04:20.408Z,306.78,21.24
8b5297cd-d2b5-4fd1-859f-0512e2d2b042,1,93709a210f8c878e1d9b12ff28580f2e,ed46f1eb4a638113deb2a1137b5f22e9,2026-09-01T00:04:20.408Z,185.89,35.43
8b5297cd-d2b5-4fd1-859f-0512e2d2b042,2,0e5c138ca746633922f8ed55b2c3d005,fe49ee029e61e789a1f3a5525f57ba8d,2026-09-01T00:04:20.408Z,78.27,22.65
65484585-4d4f-4d0c-bd45-9d21f97a3431,1,37e25cb997fa9c3559b68928bdddff23,0c8380b62e38e8a1e6adbeba7eb9688c,2026-09-01T00:04:20.408Z,69.33,31.71
65484585-4d4f-4d0c-bd45-9d21f97a3431,2,da7da0c2d3f2dbb32bee4ad3cf467fc6,05d2173d43ea568aa0540eba70d2ca76,2026-09-01T00:04:20.408Z,27.66,24.44
65484585-4d4f-4d0c-bd45-9d21f97a3431,3,3ed88583f131691a34dbc2b4e4f83f2e,6fd52c528dcb38be2eea044946b811f8,2026-09-01T00:04:20.408Z,205.8,11.5
c909e475-fa08-416d-8833-f74118d79bdb,1,e87093a08e761c9fbf7dd461227f66c1,c43d924a0f1688ee9fae0efcd6f539d4,2026-09-01T00:04:20.408Z,201.74,20.14
c909e475-fa08-416d-8833-f74118d79bdb,2,0c3e039a06ef40bce9a30c05a247f77e,876182d1918783bbe15233febfbd4926,2026-09-01T00:04:20.408Z,53.36,26.08
c909e475-fa08-416d-8833-f74118d79bdb,3,ca00817d14c90f75f3695ef75030c907,1b7e5006cb25dd23ce8686691013b121,2026-09-01T00:04:20.408Z,194.88,18.78
3edb62f0-8652-40ab-ae82-7c2811a56eb5,1,198ec19b3806cc2ad217e159e4e09d58,83a75eea11694e36e56dd0cb2240229a,2026-09-01T00:04:20.408Z,5.86,22.79
7bf3250e-a571-4728-9388-f7fa8c0e45e6,1,e35e57ac692a504d2fbb8f30e188c693,a5cba26a62b8b4d0145b68b841e62e7f,2026-09-01T00:04:20.408Z,302.25,17.66
b586f2f9-df61-4491-b2fd-9a2e7b61926e,1,895e0a8c1cf8a915c6a0d5d2a91689b6,5e25c632f9db6cfb8bc100421c2737b6,2026-09-01T00:04:20.408Z,174.9,20.58
38a9701c-2fa5-4947-8c03-1308d403f377,1,01175f0c6182b4410c669417d7e8268f,f1ce5fdecd64935c28b9ff932751d0dc,2026-09-01T00:04:20.408Z,44.39,8.05
38a9701c-2fa5-4947-8c03-1308d403f377,2,7e42f7c4405ac2fdec454c0497facd83,c68fb906c8f4b4b946d8386bfa6e5467,2026-09-01T00:04:20.408Z,233.85,13.48
38a9701c-2fa5-4947-8c03-1308d403f377,3,279c4f688c1562c5f221f139179389c9,11eac105f3f90a9b87b19c89d91e24f3,2026-09-01T00:04:20.408Z,54.25,25.33
9c55d223-e7e9-4eb4-9caa-a2f1dbcba10c,1,671daae289ba175770580ddd6240ef76,ba89796db68db180bd389de96b2ff3b6,2026-09-01T00:04:20.408Z,53.43,18.66
9c55d223-e7e9-4eb4-9caa-a2f1dbcba10c,2,b3c9fbea83e09f3d0994b2f8301c89a7,ff063b022a9a0aab91bad2c9088760b7,2026-09-01T00:04:20.408Z,27.19,16.59
9c55d223-e7e9-4eb4-9caa-a2f1dbcba10c,3,6f735de7025b8e74fc832dfd6ec2bf5d,3a734b715d333a2588a3d54a0c9b8746,2026-09-01T00:04:20.408Z,283.48,18.42
93024d82-264f-4304-857e-6595a6386ab7,1,a9418952bd0aee716d44d25d706561b0,85044848b1b767db2a4a58526adef4b4,2026-09-01T00:04:20.408Z,181.36,37.06
93024d82-264f-4304-857e-6595a6386ab7,2,edaa2bd93560f6d79e10b21fa2858004,5962468f885ea01a1b6a97a218797b0a,2026-09-01T00:04:20.408Z,45.29,13.91
dfd2c001-c367-45e3-817b-e6d24193c8a4,1,70ee18fa7f4c08a0d334497bf8969f59,83b08de96980757220871b31bf6cffca,2026-09-01T00:04:20.408Z,389.4,2.12
dfd2c001-c367-45e3-817b-e6d24193c8a4,2,e619ceb6b2a4196772ddaa5c6e0368a7,69b5eaa096c3f9d1e5c398c597f567d6,2026-09-01T00:04:20.408Z,106.5,31.22
dfd2c001-c367-45e3-817b-e6d24193c8a4,3,ab687729e8507381d0b4aa32bef2d723,6c6e3d67f969468f3bfd33f827a31222,2026-09-01T00:04:20.408Z,345.74,17.54
1bbbd7ff-4b7a-4ba8-b91b-233eaa288f8c,1,cdd68c0ef3e507db79631336cf9ec285,b56906f7fd1696e043f1bcce164c487b,2026-09-01T00:04:20.408Z,112.71,20.23
54376760-f990-4bdf-bbeb-db6af9e3cd7a,1,332b3e10a1e54aa72c52f41221eb53ab,1703bc09972dab9782e7a9194943b69f,2026-09-01T00:04:20.408Z,156.89,12.69
54376760-f990-4bdf-bbeb-db6af9e3cd7a,2,fd9bc1610a48cabefb0ef59453f7ebeb,3d62f86afa7c73be2628a3be1423f5a0,2026-09-01T00:04:20.408Z,136.04,25.32
278ff1e9-f941-4d2c-927d-0ca255af1f25,1,5bf0a3751ac1a1c1253ef97a027b8c13,f6122bc84774df1b372bdb3bb88ddb9f,2026-09-01T00:04:20.408Z,286.49,16.74
8936bf46-e191-4fb2-8435-5252ef6c79c6,1,9766505cde62429c3629bb6411cd9dc4,916748bc99315c2d202898ae58b1617e,2026-09-01T00:04:20.408Z,190.22,13.47
1132885b-0728-422f-a691-8ac06221f032,1,73f904226d62f004bbd49c022e686999,7202e2ba20579a9bd1acb29e61fe71f6,2026-09-01T00:04:20.408Z,348.03,4.3
9d45cd31-87bf-4f9d-be46-9384e694f8ff,1,303b5f49ba6dd3d1d40aa3fe9b4f0bf9,8cf21434553b02cbd37c0bbd07e041b0,2026-09-01T00:04:20.408Z,166.35,9.1
1aac930a-c84b-4f02-b2d7-b63a9081b8f5,1,4821fcfd5ac4f89ee295f3ac1f20c7a3,e5a38146df062edaf55c38afa99e42dc,2026-09-01T00:04:20.408Z,30.86,26.36
7710bd35-9468-447c-b852-e88df6ae5a8b,1,b9e247fc923da7d723c2545b76efe01e,8daab2245ebdc277c51098d01c5ad8ef,2026-09-01T00:04:20.408Z,17.61,10.4
982eb9c8-856b-45be-9645-ac3fb5768c0c,1,e0f55a53bebaae74a51a8fb9639681d6,270572bb714b00531be85e16e1550f26,2026-09-01T00:04:20.408Z,174.61,4.38
912a05a2-990f-454e-94e7-e8011dba03c4,1,5688e01178de72fdee95d7d456d387fd,38f276ca6e7cc95a6d1bb55ac9e5550f,2026-09-01T00:04:20.408Z,167.69,24.1
618314c1-33f2-4ec9-b120-f1361670ee52,1,8aae4df46baf1278422b69edbb50bd35,cc5a78bbad32776dc4e3af205218368c,2026-09-01T00:04:20.408Z,326.56,33.14
618314c1-33f2-4ec9-b120-f1361670ee52,2,3889a02f55ae9a5e5e321c4a4d2eee64,bdb3edbaee43a761e2d4f258dc08f348,2026-09-01T00:04:20.408Z,240.39,29.01
618314c1-33f2-4ec9-b120-f1361670ee52,3,50e015dd53fdcfa8502a7e6827e1fbe6,9e9b539eb2806acee3f5c28085c1db9f,2026-09-01T00:04:20.408Z,108.09,1.15
12f8ad2b-024a-4817-957c-85f2a162ced1,1,e80d316020758033fb0247e553f8a640,d05ae8f7a5bd1d2a690a44cd079e4e27,2026-09-01T00:04:20.408Z,241.78,31.95
b3247bf4-4f47-4c1a-9c7e-03260e2c686f,1,1b5b6bd531d2e0b1650bbabac62fa352,a806a4bb063ea7ca6d374eafa50a6058,2026-09-01T00:04:20.408Z,38.34,5.16
65e76cb7-6169-487c-b1a9-6c83ff7223ac,1,e5ae72c62ebfa708624f5029d609b160,f41ce2e25237f9092cd8e6e7516c7a2f,2026-09-01T00:04:20.408Z,135.67,9.33
6a32f08e-8522-403d-8337-e87534737e7d,1,432f8a18d8c5b519bf3860e2f32c3273,9bade61a92bed55a25d2b67b9f4ed739,2026-09-01T00:04:20.408Z,163.61,24.6
46de40dd-0d0f-4a7b-89e6-5255418ebcb2,1,d458378a178cd7cae60052319cebf235,562f8cfc51f265411f487d07e9c40e7f,2026-09-01T00:04:20.408Z,106.76,42.03
46de40dd-0d0f-4a7b-89e6-5255418ebcb2,2,fc6b299cf83fa76632dd1b0a2c611f33,d79e8478eed9999493990b44955fb22e,2026-09-01T00:04:20.408Z,318.33,15.63
